model_size,chinchilla,optimizer,batch,best_lr,dclm_loss,n_lrs
30M,0.25,adamw,1M,0.16,6.0575,8
30M,0.25,muon,1M,0.014,5.4775,7
30M,0.5,adamw,1M,0.12,5.4903,8
30M,0.5,muon,1M,0.014,5.0365,7
30M,1,adamw,1M,0.04,4.8256,4
30M,1,muon,1M,0.01,4.5669,6
30M,2,adamw,1M,0.056,4.5491,3
30M,2,adamw,2M,0.028,4.9056,5
30M,2,adamw,4M,0.08,5.2304,5
30M,2,muon,1M,0.02,4.4387,7
30M,2,muon,2M,0.014,4.5387,5
30M,2,muon,4M,0.01,4.8928,5
30M,4,adamw,1M,0.028,4.4303,5
30M,4,muon,1M,0.02,4.3746,5
30M,8,adamw,1M,0.028,4.3616,5
30M,8,muon,1M,0.014,4.3282,5
30M,16,adamw,1M,0.028,4.3306,5
30M,16,muon,1M,0.02,4.3019,5
30M,32,adamw,1M,0.014,4.3015,7
30M,32,muon,1M,0.014,4.2794,5
30M,64,adamw,1M,0.01,4.2802,4
30M,64,muon,1M,0.014,4.2693,4
60M,0.25,adamw,1M,0.056,5.2805,9
60M,0.25,adamw,2M,0.11,6.0838,8
60M,0.25,adamw,4M,0.16,6.6284,8
60M,0.25,muon,1M,0.014,4.5051,8
60M,0.25,muon,2M,0.0099,5.1322,8
60M,0.25,muon,4M,0.014,6.0334,8
60M,0.5,adamw,1M,0.056,4.5523,9
60M,0.5,adamw,2M,0.079,5.2381,8
60M,0.5,adamw,4M,0.16,5.9872,8
60M,0.5,muon,1M,0.01,4.1836,8
60M,0.5,muon,2M,0.014,4.4274,8
60M,0.5,muon,4M,0.014,5.0790,8
60M,1,adamw,1M,0.02,4.1666,10
60M,1,adamw,2M,0.04,4.4319,8
60M,1,adamw,4M,0.056,5.1449,8
60M,1,muon,1M,0.014,3.9994,10
60M,1,muon,2M,0.014,4.0990,8
60M,1,muon,4M,0.014,4.3402,8
60M,2,adamw,1M,0.02,3.9861,11
60M,2,adamw,2M,0.02,4.0834,8
60M,2,adamw,4M,0.028,4.3666,8
60M,2,muon,1M,0.014,3.9081,9
60M,2,muon,2M,0.014,3.9421,8
60M,2,muon,4M,0.014,4.0474,8
60M,4,adamw,1M,0.01,3.8852,11
60M,4,adamw,2M,0.014,3.9377,9
60M,4,adamw,4M,0.014,4.0734,9
60M,4,muon,1M,0.014,3.8497,9
60M,4,muon,2M,0.0099,3.8766,8
60M,4,muon,4M,0.014,3.9089,8
60M,8,adamw,1M,0.014,3.8323,10
60M,8,adamw,2M,0.014,3.8605,8
60M,8,adamw,4M,0.02,3.9065,8
60M,8,muon,1M,0.01,3.8032,8
60M,8,muon,2M,0.0071,3.8204,8
60M,8,muon,4M,0.02,3.8330,8
60M,16,adamw,1M,0.028,3.8363,3
60M,16,muon,1M,0.014,3.7798,9
60M,32,muon,1M,0.007,3.7552,4
60M,64,muon,1M,0.005,3.7434,3
100M,0.25,adamw,1M,0.04,4.6996,6
100M,0.25,muon,1M,0.014,4.0804,7
100M,0.5,adamw,1M,0.02,4.0898,8
100M,0.5,muon,1M,0.014,3.8449,7
100M,2,adamw,1M,0.01,3.6725,7
100M,2,adamw,2M,0.02,3.7859,5
100M,2,adamw,4M,0.02,3.9356,5
100M,2,muon,1M,0.014,3.6277,7
100M,2,muon,2M,0.02,3.6612,5
100M,2,muon,4M,0.01,3.7364,5
100M,4,adamw,1M,0.01,3.5866,7
100M,4,muon,1M,0.01,3.5596,7
100M,8,adamw,1M,0.014,3.5507,4
100M,8,muon,1M,0.014,3.5217,5
