model_size,chinchilla,optimizer,h_over_kappa_mean,h_over_kappa_median,p10,p90,h_mean,kappa_mean,top1_accuracy,frac_lambda_positive,n_positions
30M,0.25,adamw,6.2863,6.1478,5.5941,7.1208,14.5401,2.3228,0.1351,0.1324,1048320
30M,0.25,muon,6.8150,6.6780,5.8506,7.9038,15.5857,2.3009,0.1733,0.1701,1048320
30M,0.5,adamw,6.6415,6.4614,5.6914,7.8231,15.6559,2.3768,0.1686,0.1653,1048320
30M,0.5,muon,6.7007,6.4844,5.6344,8.0666,16.6233,2.5035,0.2082,0.2049,1048320
30M,1,adamw,6.2036,6.0001,5.3434,7.3489,17.0955,2.7755,0.2132,0.2097,1048320
30M,1,muon,6.4124,6.1960,5.3063,7.9093,17.9140,2.8158,0.2589,0.2554,1048320
30M,2,adamw,6.0672,5.7749,4.9482,7.7359,18.1900,3.0384,0.2584,0.2549,1048320
30M,2,muon,6.2917,6.0689,5.1851,7.8340,18.3454,2.9422,0.2689,0.2654,1048320
30M,4,adamw,5.9014,5.6660,4.8762,7.3832,18.5988,3.1887,0.2682,0.2647,1048320
30M,4,muon,5.9322,5.6999,4.9365,7.3548,18.7670,3.1916,0.2744,0.2709,1048320
30M,8,adamw,5.8360,5.5974,4.8384,7.3078,18.7647,3.2495,0.2747,0.2711,1048320
30M,8,muon,5.6651,5.4607,4.6803,7.0640,19.2128,3.4268,0.2788,0.2751,1048320
30M,16,adamw,5.6032,5.3760,4.6139,7.0378,19.0148,3.4347,0.2785,0.2749,1048320
30M,16,muon,5.4789,5.2547,4.5228,6.8769,19.4277,3.5872,0.2821,0.2785,1048320
30M,32,adamw,5.5539,5.2810,4.5586,7.0700,18.9222,3.4595,0.2817,0.2781,1048320
30M,32,muon,5.3517,5.1560,4.4315,6.6388,19.4216,3.6696,0.2839,0.2803,1048320
30M,64,adamw,5.3861,5.1571,4.4295,6.7731,19.0663,3.5928,0.2835,0.2799,1048320
30M,64,muon,5.0882,4.8806,4.1583,6.4015,19.5723,3.9020,0.2849,0.2813,1048320
60M,0.25,adamw,6.6135,6.4646,5.6635,7.7948,16.3470,2.4869,0.1847,0.1813,1048320
60M,0.25,muon,7.1633,6.9044,5.9523,8.8045,17.6355,2.4782,0.2640,0.2605,1048320
60M,0.5,adamw,6.4591,6.1843,5.2944,8.1397,17.9491,2.8116,0.2562,0.2526,1048320
60M,0.5,muon,6.9156,6.6594,5.6379,8.6656,18.3541,2.6793,0.2932,0.2897,1048320
60M,1,adamw,6.4759,6.1965,5.2726,8.1871,18.6756,2.9192,0.2904,0.2868,1048320
60M,1,muon,6.7638,6.4986,5.5777,8.4680,18.8873,2.8187,0.3033,0.2998,1048320
60M,2,adamw,6.4135,6.1503,5.2349,8.1361,19.1301,3.0208,0.3109,0.3073,1048320
60M,2,muon,6.3561,6.0527,5.2245,8.0645,19.4392,3.0948,0.3171,0.3134,1048320
60M,4,adamw,6.1549,5.8566,5.0244,7.8708,19.4807,3.2092,0.3185,0.3147,1048320
