chinchilla,optimizer,batch,best_lr,dclm_loss,n_lrs
0.25,adamw,1M,0.08,6.0243,8
0.25,muon,1M,0.014,5.4775,7
0.5,adamw,1M,0.04,5.3923,8
0.5,muon,1M,0.014,5.0365,7
1,adamw,1M,0.04,4.9092,9
1,muon,1M,0.01,4.5669,4
2,adamw,1M,0.014,4.5552,9
2,adamw,2M,0.028,4.9056,5
2,adamw,4M,0.08,5.2304,5
2,muon,1M,0.02,4.4437,4
2,muon,2M,0.014,4.5387,5
2,muon,4M,0.01,4.8928,5
4,adamw,1M,0.02,4.4235,9
4,muon,1M,0.02,4.3788,7
8,adamw,1M,0.028,4.3616,6
8,muon,1M,0.014,4.3314,7
16,adamw,1M,0.02,4.3225,9
16,muon,1M,0.014,4.3001,7
32,adamw,1M,0.014,4.3015,7
32,muon,1M,0.01,4.2793,7
64,adamw,1M,0.01,4.2802,4
64,muon,1M,0.014,4.2693,4
